bits_per_value,rms_mean,rms_std,tx_rate_mean,bits_mean,energy_mean,fail_rate,avg_qerr
4,12029.913628623994,99.81814205263909,0.9637666666666665,154202.66666666666,7999.084599014323,1.0,37644335.2983971
6,12423.754980521597,68.00503768316815,0.9639833333333334,169661.06666666668,7958.806479262683,1.0,40238334.23697578
8,12493.430034114508,74.64074002194796,0.9649500000000001,185270.4,7808.091829882424,1.0,40594338.98404833
10,12504.260636616762,72.28557359772151,0.9657833333333333,200882.93333333332,7769.170873599035,1.0,40693305.007360235
12,12483.950927220876,98.91635938094423,0.9658000000000001,216339.2,7772.142546089538,1.0,40556366.58676893
