M,J_mean,bits_mean,updates_mean
1,3127320577250.3115,192000.0,1746.9666666666667
2,2995386609280.0894,96000.0,872.4
3,2846624882306.036,64032.0,585.9
5,2442400088611.689,38400.0,348.8666666666667
8,2000693881849.1565,24000.0,220.0
10,1676939635630.9226,19200.0,175.9
15,1011709848136.981,12864.0,116.56666666666666
20,641241906150.9323,9600.0,88.0
30,213186904995.97656,6432.0,58.6
40,128417693690.24107,4800.0,44.93333333333333
50,84699926260.90068,3840.0,35.43333333333333
