delta,M_star,bits_et,bits_per,J_et,J_per,updates_et,updates_per
0.001,1,192000.0,192000.0,3127320577250.3115,3127320577250.3115,1746.9666666666667,1746.9666666666667
0.003,1,192000.0,192000.0,3127320577250.3115,3127320577250.3115,1746.9666666666667,1746.9666666666667
0.01,1,192000.0,192000.0,3127320577250.3115,3127320577250.3115,1746.9666666666667,1746.9666666666667
0.03,1,192000.0,192000.0,3127320577250.3115,3127320577250.3115,1746.9666666666667,1746.9666666666667
0.1,1,191964.8,192000.0,3127722352789.9253,3127320577250.3115,1748.5666666666666,1746.9666666666667
0.3,1,189920.0,192000.0,3120561660129.095,3127320577250.3115,1731.0666666666666,1746.9666666666667
1.0,20,11116.8,9600.0,59362540185.769806,641241906150.9323,99.43333333333334,88.0
3.0,50,0.0,3840.0,8478.46059623251,84699926260.90068,0.0,35.43333333333333
10.0,50,0.0,3840.0,8478.46059623251,84699926260.90068,0.0,35.43333333333333
