policy,delta,periodic_M,random_q,rms_mean,rms_std,J_mean,J_std,N_tx_mean,N_tx_std,N_tx_attempt_mean,tx_rate_mean,tx_attempt_rate_mean,bits_mean,bits_std,energy_mean,fail_rate,avg_qerr
event,0.5,,,12493.546463763607,73.2755592304515,3114102620845.094,36426591931.01278,1656.7333333333333,30.60305746876906,1889.8333333333333,0.8283666666666669,0.9449166666666665,181424.0,1027.8118706160726,7755.845330377609,1.0,41311281.434037186
periodic,0.5,1.0,,12520.08866535655,62.24661093072243,3127320577250.3115,31033252337.29152,1746.9666666666667,29.363927357985638,2000.0,0.8734833333333332,1.0,192000.0,0.0,7851.922518650712,1.0,39362515.1289076
random,0.5,,0.8283666666666667,12451.792014093313,93.01840706680338,3093412464363.458,46065815677.21968,1455.9333333333334,30.62896232870668,1656.6,0.7279666666666669,0.8283,159033.6,1577.1588947567536,7842.331272068705,1.0,39121518.357159786
