delta,J_mean,bits_mean,updates_mean
0.001,3127320577250.3115,192000.0,1746.9666666666667
0.003,3127320577250.3115,192000.0,1746.9666666666667
0.01,3127320577250.3115,192000.0,1746.9666666666667
0.03,3127320577250.3115,192000.0,1746.9666666666667
0.1,3127722352789.9253,191964.8,1748.5666666666666
0.3,3120561660129.095,189920.0,1731.0666666666666
1.0,59362540185.769806,11116.8,99.43333333333334
3.0,8478.46059623251,0.0,0.0
10.0,8478.46059623251,0.0,0.0
