delta,J_mean,J_std,N_tx_mean,N_tx_std,tx_rate_mean,bits_mean
0.001,3127320577250.3115,31033252337.29152,1746.9666666666667,29.363927357985638,0.8734833333333332,192000.0
0.003,3127320577250.3115,31033252337.29152,1746.9666666666667,29.363927357985638,0.8734833333333332,192000.0
0.01,3127320577250.3115,31033252337.29152,1746.9666666666667,29.363927357985638,0.8734833333333332,192000.0
0.03,3127320577250.3115,31033252337.29152,1746.9666666666667,29.363927357985638,0.8734833333333332,192000.0
0.1,3127722352789.9253,31138355937.518353,1748.5666666666666,29.341841764976508,0.8742833333333332,191964.8
0.3,3120561660129.095,37657421535.04726,1731.0666666666666,30.29730081676599,0.8655333333333333,189920.0
1.0,59362540185.769806,237836649097.1895,99.43333333333334,306.08424390650384,0.049716666666666666,11116.8
3.0,8478.46059623251,3.700170984052295e-12,0.0,0.0,0.0,0.0
10.0,8478.46059623251,3.700170984052295e-12,0.0,0.0,0.0,0.0
